INFO:__main__:Program started
WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 191-848-549
INFO:werkzeug: * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO:werkzeug: * Detected change in 'C:\\Users\\nirai\\OneDrive\\Documents\\Pandiaraj\\Python-Projects\\python-projects\\InventoryWebApp\\app.py', reloading
2022-12-22 14:15:37,566 - INFO - werkzeug -  * Detected change in 'C:\\Users\\nirai\\OneDrive\\Documents\\Pandiaraj\\Python-Projects\\python-projects\\InventoryWebApp\\app.py', reloading
2022-12-22 14:15:37,582 - INFO - werkzeug -  * Detected change in 'C:\\Users\\nirai\\OneDrive\\Documents\\Pandiaraj\\Python-Projects\\python-projects\\InventoryWebApp\\app.py', reloading
2022-12-22 14:15:37,602 - INFO - werkzeug -  * Restarting with stat
2022-12-22 14:15:37,619 - INFO - werkzeug -  * Restarting with stat
2022-12-22 14:15:38,762 - INFO - __main__ - Program started
2022-12-22 14:15:38,810 - WARNING - werkzeug -  * Debugger is active!
2022-12-22 14:15:38,810 - WARNING - werkzeug -  * Debugger is active!
2022-12-22 14:15:38,824 - INFO - werkzeug -  * Debugger PIN: 191-848-549
2022-12-22 14:15:39,394 - INFO - werkzeug -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-12-22 14:15:39,410 - INFO - werkzeug -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
